symbol,stop_mult,target_r,hold_h,trades,gross_r,cost_r,net_r,hit,timeout
XRPUSD,3.0,2.5,48,600,0.06473185127219523,0.09596285046305596,-0.03123099919086073,25.0,11.666666666666666
XRPUSD,3.0,2.5,168,508,0.042555044225356525,0.09456907875018605,-0.05201403452482949,29.133858267716533,0.984251968503937
XRPUSD,3.0,3.0,48,565,0.04247864853367392,0.09549094301681246,-0.053012294483138524,20.17699115044248,13.805309734513274
XRPUSD,3.0,3.0,168,463,0.031670296004834675,0.09317974440509813,-0.06150944840026342,25.05399568034557,1.2958963282937366
XRPUSD,3.0,4.0,48,512,0.15292447958591437,0.0972890665732189,0.05563541301269548,16.2109375,17.3828125
XRPUSD,3.0,4.0,168,378,0.11339429756577958,0.09237837717602881,0.021015920389750777,21.164021164021165,2.6455026455026456
XRPUSD,4.0,1.0,48,777,0.00015572822464400665,0.07955366145329108,-0.07939793322864708,47.10424710424711,4.89060489060489
XRPUSD,4.0,1.0,168,727,-0.01193027875608146,0.07774512936225542,-0.08967540811833688,48.830811554332875,0.0
XRPUSD,4.0,1.5,48,607,0.07385910371343998,0.07969070765154529,-0.005831603938105317,38.220757825370676,10.049423393739703
XRPUSD,4.0,1.5,168,537,0.08670903855323146,0.07664655366926941,0.010062484883962018,43.01675977653631,0.186219739292365
XRPUSD,4.0,2.0,48,547,0.016846095185640224,0.0807588059935001,-0.0639127108078599,26.691042047531994,16.63619744058501
XRPUSD,4.0,2.0,168,424,0.041504855548885576,0.07548051166481622,-0.03397565611593064,34.19811320754717,0.7075471698113208
XRPUSD,4.0,2.5,48,506,0.052752309682511045,0.08046141967811084,-0.027709109995599782,21.73913043478261,18.972332015810274
XRPUSD,4.0,2.5,168,368,-0.0012764334557685698,0.07622042313874522,-0.07749685659451379,27.717391304347828,1.6304347826086956
XRPUSD,4.0,3.0,48,473,0.09606103015217972,0.08311854289418814,0.012942487257991579,16.701902748414376,24.947145877378436
XRPUSD,4.0,3.0,168,329,-0.002191662840524472,0.07528033236047678,-0.07747199520100126,23.404255319148938,3.64741641337386
XRPUSD,4.0,4.0,48,444,0.11435163632606929,0.0836605761678421,0.030691060158227156,10.81081081081081,30.855855855855857
XRPUSD,4.0,4.0,168,287,0.11122475991038351,0.07579383720954663,0.035430922700836934,20.209059233449477,4.878048780487805
